2017-12-01 21:52:58 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 install libpam0g:amd64 <none> 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status half-installed libpam0g:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 status unpacked libpam0g:amd64 1.1.8-3.2ubuntu2
2017-12-01 21:52:58 install libpcre3:amd64 <none> 2:8.38-3.1
2017-12-01 21:52:58 status half-installed libpcre3:amd64 2:8.38-3.1
2017-12-01 21:52:58 status unpacked libpcre3:amd64 2:8.38-3.1
2017-12-01 21:52:58 status unpacked libpcre3:amd64 2:8.38-3.1
2017-12-01 21:52:58 install libprocps4:amd64 <none> 2:3.3.10-4ubuntu2
2017-12-01 21:52:58 status half-installed libprocps4:amd64 2:3.3.10-4ubuntu2
2017-12-01 21:52:58 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-12-01 21:52:58 status unpacked libprocps4:amd64 2:3.3.10-4ubuntu2
2017-12-01 21:52:58 install libseccomp2:amd64 <none> 2.2.3-3ubuntu3
2017-12-01 21:52:58 status half-installed libseccomp2:amd64 2.2.3-3ubuntu3
2017-12-01 21:52:58 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-12-01 21:52:58 status unpacked libseccomp2:amd64 2.2.3-3ubuntu3
2017-12-01 21:52:58 install libselinux1:amd64 <none> 2.4-3build2
2017-12-01 21:52:58 status half-installed libselinux1:amd64 2.4-3build2
2017-12-01 21:52:58 status unpacked libselinux1:amd64 2.4-3build2
2017-12-01 21:52:58 status unpacked libselinux1:amd64 2.4-3build2
2017-12-01 21:52:58 install libsemanage-common:all <none> 2.3-1build3
2017-12-01 21:52:58 status half-installed libsemanage-common:all 2.3-1build3
2017-12-01 21:52:58 status unpacked libsemanage-common:all 2.3-1build3
2017-12-01 21:52:58 status unpacked libsemanage-common:all 2.3-1build3
2017-12-01 21:52:58 install libsemanage1:amd64 <none> 2.3-1build3
2017-12-01 21:52:58 status half-installed libsemanage1:amd64 2.3-1build3
2017-12-01 21:52:58 status unpacked libsemanage1:amd64 2.3-1build3
2017-12-01 21:52:58 status unpacked libsemanage1:amd64 2.3-1build3
2017-12-01 21:52:58 install libsepol1:amd64 <none> 2.4-2
2017-12-01 21:52:58 status half-installed libsepol1:amd64 2.4-2
2017-12-01 21:52:58 status unpacked libsepol1:amd64 2.4-2
2017-12-01 21:52:58 status unpacked libsepol1:amd64 2.4-2
2017-12-01 21:52:58 install libsmartcols1:amd64 <none> 2.27.1-6ubuntu3
2017-12-01 21:52:58 status half-installed libsmartcols1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 status unpacked libsmartcols1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 install libss2:amd64 <none> 1.42.13-1ubuntu1
2017-12-01 21:52:58 status half-installed libss2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:58 status unpacked libss2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:58 status unpacked libss2:amd64 1.42.13-1ubuntu1
2017-12-01 21:52:58 install libsystemd0:amd64 <none> 229-4ubuntu4
2017-12-01 21:52:58 status half-installed libsystemd0:amd64 229-4ubuntu4
2017-12-01 21:52:58 status unpacked libsystemd0:amd64 229-4ubuntu4
2017-12-01 21:52:58 status unpacked libsystemd0:amd64 229-4ubuntu4
2017-12-01 21:52:58 install libtinfo5:amd64 <none> 6.0+20160213-1ubuntu1
2017-12-01 21:52:58 status half-installed libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:58 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:58 status unpacked libtinfo5:amd64 6.0+20160213-1ubuntu1
2017-12-01 21:52:58 install libudev1:amd64 <none> 229-4ubuntu4
2017-12-01 21:52:58 status half-installed libudev1:amd64 229-4ubuntu4
2017-12-01 21:52:58 status unpacked libudev1:amd64 229-4ubuntu4
2017-12-01 21:52:58 status unpacked libudev1:amd64 229-4ubuntu4
2017-12-01 21:52:58 install libustr-1.0-1:amd64 <none> 1.0.4-5
2017-12-01 21:52:58 status half-installed libustr-1.0-1:amd64 1.0.4-5
2017-12-01 21:52:58 status unpacked libustr-1.0-1:amd64 1.0.4-5
2017-12-01 21:52:58 status unpacked libustr-1.0-1:amd64 1.0.4-5
2017-12-01 21:52:58 install libuuid1:amd64 <none> 2.27.1-6ubuntu3
2017-12-01 21:52:58 status half-installed libuuid1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 status unpacked libuuid1:amd64 2.27.1-6ubuntu3
2017-12-01 21:52:58 install locales:all <none> 2.23-0ubuntu3
2017-12-01 21:52:58 status half-installed locales:all 2.23-0ubuntu3
2017-12-01 21:52:59 status unpacked locales:all 2.23-0ubuntu3
2017-12-01 21:52:59 status unpacked locales:all 2.23-0ubuntu3
2017-12-01 21:52:59 install login:amd64 <none> 1:4.2-3.1ubuntu5
2017-12-01 21:52:59 status half-installed login:amd64 1:4.2-3.1ubuntu5
2017-12-01 21:52:59 status unpacked login:amd64 1:4.2-3.1ubuntu5
2017-12-01 21:52:59 status unpacked login:amd64 1:4.2-3.1ubuntu5
2017-12-01 21:52:59 install lsb-base:all <none> 9.20160110
2017-12-01 21:52:59 status half-installed lsb-base:all 9.20160110
2017-12-01 21:52:59 status unpacked lsb-base:all 9.20160110
2017-12-01 21:52:59 status unpacked lsb-base:all 9.20160110
2017-12-01 21:52:59 install makedev:all <none> 2.3.1-93ubuntu1
